Keys,en_US,en_GB,de_DE,fr_FR,es_ES,ar_AE,ru_RU
OtherChargeGenID,Gen 10,Gen 10,Gen 10,Génération 10,generación 10,الجنرال 10,Ген 10
OtherCharges,Other Charges,Other Charges,Zusatzgebühren,Autres charges,Otros cargos,رسوم أخرى,Другие расходы
Owner,Owner,Owner,Eigentümer,Propriétaire,Dueño,مالك,Владелец
PayCode,Pay Code,Pay Code,Zahlungscode,Code de paie,Código de pago,رمز الدفع,Код оплаты
Pieces,Pieces,Pieces,Stücke,Pièces,Piezas,قِطَع,Куски
PrepaidDucAgent,Prepaid Due Agent,Prepaid Due Agent,Prepaid Due Agent,Agent dû prépayé,Agente Prepago Vencido,وكيل مستحق الدفع المسبق,Предоплаченный агент
PrepaidoueCarrier,Prepaid Due Carrier,Prepaid Due Carrier,„Prepaid Fälliger Anbieter“,Transporteur dû prépayé',Transportista Prepago Vencido',الناقل المستحق الدفع المسبق',Предоплаченный перевозчик'
Published,Published,Published,Veröffentlicht,Publié,Publicado,نشرت,Опубликовано
QuantityDate,Quantity/Date,Quantity/Date,Menge/Datum,Quantité/Date,Cantidad/Fecha,الكمية/التاريخ,Количество/Дата
Rate,Rate,Rate,Rate,Taux,Tasa,معدل,Ставка
RateClass,Rate Class,Rate Class,Tarifklasse,Classe tarifaire,Clase de tarifa,فئة المعدل,Класс тарифа
RateNote,Rate Note,Rate Note,Preishinweis,Remarque sur les taux,Nota de tarifa,ملاحظة معدل,Примечание по тарифам
RatePercent,Rate %,Rate %,Rate %,Taux %,Tasa %,معدل ٪,Ставка %
RateSource,Rate Source,Rate Source,Preisquelle,Source du taux,Fuente de tarifa,مصدر المعدل,Источник ставок
RateType,Rate Type,Rate Type,Tarifart,Type de taux,Tipo de cambio,نوع معدل,Тип тарифа
RatingDescription,Desciption,Desciption,Beschreibung,Description,Descripción,وصف,Описание
RatingDetails,Rating Details,Rating Details,Bewertungsdetails,Détails de la notation,Detalles de calificación,تفاصيل التقييم,Детали рейтинга
RatingGenID,Gen ID,Gen ID,Gen-ID,ID de génération,ID de generación,معرف الجنرال,Идентификатор поколения
RatingLines,Rating Lines,Rating Lines,Bewertungslinien,Lignes de notation,Líneas de calificación,خطوط التقييم,Рейтинговые линии
ResponsibleParticipant,Responsible Participant,Responsible Participant,Verantwortlicher Teilnehmer,Participant responsable,Participante responsable,المشارك المسؤول,Ответственный участник
SLAC,SLAC,SLAC,SLAC,SLAC,SLAC,سلاك,СЛАК
Service,Service,Service,Service,Service,Servicio,خدمة,Услуга
Subcode,subcode,subcode,Subcode,sous-code,subcódigo,رمز فرعي,субкод
Time,Time,Time,Zeit,Temps,Tiempo,وقت,Время
TimeIndicator,Tire Indicator,Tire Indicator,Reifenanzeige,Indicateur de pneu,Indicador de neumáticos,مؤشر الإطارات,Индикатор шин
Type,Type,Type,Typ,Taper,Tipo,يكتب,Тип
ULDIDs,ULD IDs,ULD IDs,ULD-IDs,Identifiants ULD,ID de ULD,معرفات ULD,ULD-идентификаторы
ULDType,ULD Type,ULD Type,ULD-Typ,Type ULD,Tipo ULD,نوع يو إل دي,Тип УЛД
UnitOfWeight,Unit of Weight,Unit of Weight,Gewichtseinheit,Unité de poids,Unidad de peso,وحدة الوزن,Единица веса
Volume,Volume,Volume,Volumen,Volume,Volumen,مقدار,Объем
VolumeEvaluationMethod,Volume Evaluation Method,Volume Evaluation Method,Methode zur Volumenbewertung,Méthode d'évaluation du volume,Método de evaluación de volumen,طريقة تقييم الحجم,Метод оценки объема
VolumeUnit,Volume Unit,Volume Unit,Volumeneinheit,Unité de volume,Unidad de volumen,وحدة الحجم,Единица объема
Cancel,Cancel,Cancel,Stornieren,Annuler,Cancelar,يلغي,Отмена
InvoiceNumber,Invoice Nurber,Invoice Nurber,Rechnungsnummer,Numéro de facture,Número de factura,رقم الفاتورة',Счет-фактура Нурбер
PaymentReceiptsandInvoices,Payment Receipts and Invoices,Payment Receipts and Invoices,Zahlungsbelege und Rechnungen,Reçus de paiement et factures,Recibos de pago y facturas,إيصالات الدفع والفواتير,Квитанции об оплате и счета-фактуры
Print,Print,Print,Drucken,Imprimer,Imprimir,مطبعة,Распечатать
PrintDocument,Print Docurent,Print Docurent,Dokument drucken,Imprimer le document,Imprimir documento,طباعة وثيقة,Распечатать документ
ReceiptNumber,Receipt Nurber,Receipt Nurber,Empfangsbestätigung,Numéro de reçu,Número de recibo,استلام نوربر,Квитанция Нурбер
print_CGST,CGST,CGST,CGST,CGST,CGST,CGST,НДС
print_IGST,IGST,IGST,IGST,IGST,IGST,IGST,ИГСТ
print_SGST,SGST,SGST,SGST,SGST,SGST,SGST,СГСТ
print_balance,BALANCE,BALANCE,GLEICHGEWICHT,ÉQUILIBRE,BALANCE,توازن,БАЛАНС
print_bnk_acc,Bank accounts :< BR>,Bank accounts :< BR>,Bankkonten :< BR>,Comptes bancaires :< BR>,Cuentas bancarias :< BR>,الحسابات البنكية:<BR>,Банковские счета:< BR>
print_chrg_coll_fee,Charges Collect Fee,Charges Collect Fee,Gebührenerhebungsgebühr,Frais de collecte des frais,Tarifa de cobro de cargos,رسوم تحصيل الرسوم,Плата за сбор
print_clearAutohd,CLEARANCE<BR>AUTHORITY,CLEARANCE<BR>AUTHORITY,FREIGABE<BR>BEHÖRDE,AUTORITÉ DE DÉGAGEMENT<BR>,AUTORIDAD<BR>LIQUIDACIÓN,سلطة التخليص<BR>,РАЗРЕШЕНИЕ<BR>ОРГАН
print_countrycurr,Country Currency:,Country Currency:,Landeswährung:',Devise du pays : ',Moneda del país:',عملة البلد:',Валюта страны:'
print_enclosure,Enclosures:,Enclosures:,Anlagen:,Boîtiers :,Cerramientos:,حاويات:,Корпуса:
print_exchng_rate,Exchange Rate Used,Exchange Rate Used,Verwendeter Wechselkurs,Taux de change utilisé,Tipo de cambio utilizado,سعر الصرف المستخدم,Используемый обменный курс
print_invoice_cnt,Kindly note above Invoice no. and reference in all correspondence and when effecting payment.,Kindly note above Invoice no. and reference in all correspondence and when effecting payment.,Bitte vermerken Sie oben die Rechnungsnr. und Referenz in der gesamten Korrespondenz und bei der Ausführung der Zahlung.,Veuillez noter ci-dessus le numéro de facture. et référence dans toute correspondance et lors du paiement.,Tenga en cuenta la factura anterior no. y referencia en toda la correspondencia y al efectuar el pago.,يرجى ملاحظة رقم الفاتورة أعلاه. والمرجع في جميع المراسلات وعند إجراء الدفع.,"Обратите внимание, что указанный выше номер счета-фактуры. и ссылки во всей переписке и при осуществлении оплаты."
print_invoice_no,Invoice No.,Invoice No.,Rechnungsnr.,Numéro de facture,Factura no.,رقم الفاتورة.,Номер счета
print_invoices,Invoices,Invoices,Rechnungen,Factures,Facturas,الفواتير,Счета-фактуры
print_org_curr,Origin Currency,Origin Currency,Ursprungswährung,Devise d'origine,Moneda de origen,العملة الأصلية,Исходная валюта
print_oth_chrg_due_agnt,other Charges Due Agent,other Charges Due Agent,Sonstige Gebühren fälliger Agent,Agent dû pour les autres charges,otros cargos adeudados al agente,الرسوم الأخرى المستحقة للوكيل,Агент по уплате других сборов
print_oth_chrg_due_carr,other Charges Due Carrier,other Charges Due Carrier,sonstige fällige Gebühren des Spediteurs,autres frais dus Transporteur,otros cargos adeudados al transportista,الرسوم الأخرى المستحقة للناقل,"другие сборы, причитающиеся перевозчику"
print_othcharge,Other Charges,Other Charges,Zusatzgebühren,Autres charges,Otros cargos,رسوم أخرى,Другие расходы
print_our_ref,Our Ref:,Our Ref:,Unsere Ref:,Notre réf:,Nuestra referencia:,مرجعنا:,Наша ссылка:
print_payment_due,Payment Due,Payment Due,Zahlung fällig,Paiement dû,Fecha de pago,استحقاق الدفع,Заплатить до
print_payments,Paynent,Paynent,Paynent,Paiement,pago,باينينت,Пейнент
print_prev_payments,Previous Payrents,Previous Payrents,Frühere Zahlungen,Loyers précédents,Pagos anteriores,الدائنون السابقون,Предыдущие платежи
print_receipt_cnt,Kindly note above Receipt no. and reference in all correspondence.,Kindly note above Receipt no. and reference in all correspondence.,Bitte vermerken Sie oben die Quittungsnr. und Referenz in der gesamten Korrespondenz.,Veuillez noter ci-dessus le numéro de reçu. et référence dans toute correspondance.,Tenga en cuenta el recibo anterior no. y referencia en toda la correspondencia.,يرجى ملاحظة رقم الإيصال أعلاه. والمرجع في جميع المراسلات.,"Пожалуйста, обратите внимание на номер квитанции выше. и ссылки во всей переписке."
print_receipt_no,Receipt No.,Receipt No.,Quittung Nr.,Numéro de reçu,Recibo No.,رقم الإيصال.,Номер квитанции.
print_ref,Reference:,Reference:,Referenz:,Référence:,Referencia:,مرجع:,Ссылка:
print_station,Station:,Station:,Bahnhof:,Gare:,Estación:,محطة:,Станция:
print_subtotal,Subtotal,Subtotal,Zwischensumme,Total,Total parcial,المجموع الفرعي,Промежуточный итог
print_tax_exchng_rate,Exchange Rate:,Exchange Rate:,Tauschrate:,Taux de change:,Tipo de cambio:,سعر الصرف:,Обменный курс:
print_tax_items,+ Taxable ItemscBR>,+ Taxable ItemscBR>,+ Steuerpflichtige PostencBR>,+ Articles taxablescBR>,+ Partidas imponiblescBR>,+ العناصر الخاضعة للضريبةscBR>,+ Налогооблагаемые объектыscBR>
print_taxinvice,TAX INVOICE,TAX INVOICE,Steuerrechnung,FACTURE FISCALE,FACTURA FISCAL,فاتورة ضريبية,НАЛОГОВАЯ НАКЛАДНАЯ
print_taxinvicchd,IMVOICE,IMVOICE,IMVOICE,IMVOIX,IMVOZ,IMVOICE,ИМВОЙС
print_tot_othcharge,Total Other Charges,Total Other Charges,Gesamte sonstige Kosten,Total des autres frais,Total de otros cargos,إجمالي الرسوم الأخرى,Итого прочие расходы
print_total,T O T A L,T O T A L,GESAMT,TOTAL,TOTAL,المجموع,ОБЩИЙ
print_total_waivals,Total Waivals,Total Waivals,Gesamtverzicht,Total des renonciations,Exenciones totales,إجمالي التنازلات,Всего отказов
print_total_wgt_and_valu,Total Weight & Valuation Charges,Total Weight & Valuation Charges,Gesamtgewicht und Bewertungsgebühren,Poids total et frais d'évaluation,Peso total y cargos de valoración,إجمالي الوزن ورسوم التقييم,Общий вес и стоимость оценки
print_val_chrg,Valuation Charge,Valuation Charge,Bewertungsgebühr,Frais d'évaluation,Cargo de valoración,رسوم التقييم,Плата за оценку
print_waivals,Waivals,Waivals,Verzicht,Renonciations,renuncias,التنازلات,Отказы
print_wght_chrg,Weight Charge,Weight Charge,Gewichtszuschlag,Charge de poids,Carga de peso,تهمة الوزن,Плата за вес
print_wgt_and_valu,Weight & Valuation Charges,Weight & Valuation Charges,Gewichts- und Bewertungsgebühren,Frais de poids et d'évaluation,Cargos de peso y valoración,رسوم الوزن والتقييم,Вес и стоимость оценки
title_title_Tax_invoice,Tax Invoice Print,Tax Invoice Print,Steuerrechnung drucken,Impression de facture fiscale,Impresión de factura de impuestos,طباعة الفاتورة الضريبية,Печать налоговой накладной
title_title_invoice,Invoice Print,Invoice Print,Rechnungsdruck,Impression de facture,Impresión de factura,طباعة الفاتورة,Печать счета
title_title_receipt,Receipt Print,Receipt Print,Quittungsdruck,Impression du reçu,Impresión de recibo,طباعة الإيصال,Распечатать квитанцию
Charge,Charge,Charge,Aufladung,Charge,Cargar,تكلفة,Заряжать
ChargeableWeight,Chargeable Weight,Chargeable Weight,Aufladbares Gewicht,Poids taxable,Peso tarifado,الوزن القابل للشحن,Оплачиваемый вес
Commodity,Commodity,Commodity,Ware,Marchandise,Producto,سلعة,Товар
Continue,Continuc,Continuc,Fortsetzung,Continuer,continuo,مستمر,Продолжить
CurrencyCode,Currency Code,Currency Code,Währungscode,Code de devise,Código de moneda,رمز العملة,Код валюты
GrossWeight,Gross Weight,Gross Weight,Bruttogewicht,Poids brut,Peso bruto,الوزن الإجمالي,Вес брутто
Nuber,Contract Nurber,Contract Nurber,Vertragsnummer,Numéro de contrat,Número de contrato,رقم العقد,Контракт Нурбер
ParticipantType,Participant Type,Participant Type,Teilnehmertyp,Type de participant,Tipo de participante,نوع المشارك,Тип участника
Rate,Rate,Rate,Rate,Taux,Tasa,معدل,Ставка
RateClass,Rate Class,Rate Class,Tarifklasse,Classe tarifaire,Clase de tarifa,فئة المعدل,Класс тарифа
RateSource,Rate Source,Rate Source,Preisquelle,Source du taux,Fuente de tarifa,مصدر المعدل,Источник ставок
RateType,Rate Type,Rate Type,Tarifart,Type de taux,Tipo de cambio,نوع معدل,Тип тарифа
RatingLine,Rating Line,Rating Line,Bewertungslinie,Ligne de notation,Línea de calificación,خط التقييم,Рейтинговая линия
Reject,Reject,Reject,Ablehnen,Rejeter,Rechazar,يرفض,Отклонять
ULDType,ULD Type,ULD Type,ULD-Typ,Type ULD,Tipo ULD,نوع يو إل دي,Тип УЛД
Weight,Weight,Weight,Gewicht,Poids,Peso,وزن,Масса
WeightUnit,Weight Unit,Weight Unit,Gewichtseinheit,Unité de poids,Unidad de peso,وحدة الوزن,Весовая единица
title,Select Rate Note,Select Rate Note,Wählen Sie „Notiz bewerten“.,Sélectionnez le taux Remarque,Seleccionar nota de tarifa,حدد ملاحظة السعر,Выберите тарифное примечание
1_I_IAC_validateManually,IAC,IAC,IAC,IAC,CAI,IAC,МАК
1 L Live Animal_UnknownShipper,Animals with Kennels/packages that can be visually inspected.,Animals with Kennels/packages that can be visually inspected.,"Tiere mit Zwingern/Verpackungen, die visuell überprüft werden können.",Animaux avec des chenils/colis pouvant être inspectés visuellement.,Animales con jaulas/paquetes que puedan ser inspeccionados visualmente.,الحيوانات ذات بيوت الكلاب/الطرود التي يمكن فحصها بصريًا.,"Животные с вольерами/упаковками, которые можно визуально осмотреть."
1_5_Known Shipper_KnownShipper,Abbreviation,Abbreviation,Abkürzung,Abréviation,Abreviatura,اختصار,Сокращение
2_0_Below 160Z_UnknownShipper,Shipment less than sixteen ounce.,Shipment less than sixteen ounce.,Sendung weniger als 16 Unzen.,Expédition de moins de seize onces.,Envío de menos de dieciséis onzas.,شحنة أقل من ستة عشر أوقية.,Отгрузка менее шестнадцати унций.
2_P_Comat_validateManually,COMAT,COMAT,COMAT,COMAT,COMA,كومات,КОМАТ
2_5_Known Shipper_KnownShipper,Minor spelling,Minor spelling,Kleinere Rechtschreibung,Orthographe mineure',Ortografía menor',"تهجئة بسيطة""",Незначительное правописание'
3_C_Air Carrier_validateManually,Air Carrier,Air Carrier,Luftfahrtunternehmen,Transporteur aérien,Transportador aéreo,ناقل جوي,Авиакомпания
3_M_Medical_UnknownShipper,Eligible medical items and section 3 of U.S. security form corpleted.,Eligible medical items and section 3 of U.S. security form corpleted.,Berechtigte medizinische Artikel und Abschnitt 3 des US-Sicherheitsformulars ausgefüllt.,Articles médicaux éligibles et section 3 du formulaire de sécurité américain rempli.,Artículos médicos elegibles y sección 3 del formulario de seguridad de EE. UU. completados.,العناصر الطبية المؤهلة والقسم 3 من نموذج الأمان الأمريكي مكتمل.,Соответствующие медицинские изделия и раздел 3 формы безопасности США заполнены.
3_5_Known Shipper_KnownShipper,Punctuation,Punctuation,Interpunktion,Ponctuation,Puntuación,علامات ترقيم,Пунктуация
4_5_Known Shipper_validateManually,Known Shipper,Known Shipper,Bekannter Versender,Expéditeur connu,Transportista conocido,الشاحن المعروف,Известный отправитель
4_U_Live Animal_UnknownShipper,Animals cannot be visually inspected and section 3 of U.S. security form corpleted.,Animals cannot be visually inspected and section 3 of U.S. security form corpleted.,Tiere können nicht visuell inspiziert werden und Abschnitt 3 des US-Sicherheitsformulars kann nicht ausgefüllt werden.,Les animaux ne peuvent pas être inspectés visuellement et la section 3 du formulaire de sécurité américain est remplie.,Los animales no pueden inspeccionarse visualmente ni completarse la sección 3 del formulario de seguridad de EE. UU.,لا يمكن فحص الحيوانات بصريًا ويتم استكمال القسم 3 من نموذج الأمان الأمريكي.,"Животные не подлежат визуальному осмотру, а раздел 3 формы безопасности США заполнен."
4_W_Known Shipper_KnownShipper,Future Option1,Future Option1,Zukünftige Option1,Option future1,Opción futura1,الخيار المستقبلي1,Будущий вариант 1
5_R_Future Option_UnknownShipper,Future Option,Future Option,Zukunftsoption,Option future,Opción futura,خيار المستقبل,Будущий вариант
5_X_Known Shipper_KnownShipper,Future Option2,Future Option2,Zukünftige Option2,Option future2,Opción futura2,خيار المستقبل2,Будущий вариант 2
5_Z_Unknown Shipper_validateManually,Unknown Shipper,Unknown Shipper,„Unbekannter Versender“,Expéditeur inconnu',Remitente desconocido,الشاحن غير معروف,Неизвестный отправитель
6_G_Government Agency_validateManually,Government Agency,Government Agency,Regierungsbehörde,Organisme gouvernemental,Agencia del gobierno,وكالة حكومية,Государственное агентство
6_T_Future Option2_UnknownShipper,Future Option2,Future Option2,Zukünftige Option2,Option future2,Opción futura2,خيار المستقبل2,Будущий вариант 2
6_Y_Known Shipper_KnownShipper,Future Option3,Future Option3,Zukünftige Option3,Option future3,Opción futura3,خيار المستقبل3,Будущий вариант 3
7_D_Diplomatic_validateManually,Diplomatic,Diplomatic,Diplomatisch,Diplomatique,Diplomático,دبلوماسي,Дипломатический
7_V_Future Option3_UnknownShipper,Future Option3,Future Option3,Zukünftige Option3,Option future3,Opción futura3,خيار المستقبل3,Будущий вариант 3
8_N_Interline_validateManually,Interline,Interline,Interline,Interligne,Interlínea,بين الخط,Интерлайн
9_E_Employee_validateManually,Employee,Employee,Mitarbeiter,Employé,Empleado,موظف,Сотрудник
18_B_Future Option_validateManually,Future Option,Future Option,Zukunftsoption,Option future,Opción futura,خيار المستقبل,Будущий вариант
11_F_Future Option1_validateManually,Future Option1,Future Option1,Zukünftige Option1,Option future1,Opción futura1,الخيار المستقبلي1,Будущий вариант 1
12_H_Future Option3_validateManually,Future Option3,Future Option3,Zukünftige Option3,Option future3,Opción futura3,خيار المستقبل3,Будущий вариант 3
ExpirationDate,Expiration Date,Expiration Date,Verfallsdatum,Date d'expiration,Fecha de caducidad,تاريخ انتهاء الصلاحية,Дата окончания срока
IacList,Validate IAC List.,Validate IAC List.,IAC-Liste validieren.,Validez la liste IAC.,Validar lista IAC.,التحقق من صحة قائمة IAC.,Подтвердить список IAC.
IacNumber,IAC Nurber,IAC Nurber,IAC Nürber,Numéro IAC,Número IAC,اي ايه سي نوربر,МАК Нюрбер
Naks,please perform manual review and corplete section 3 of the U.S security for.,please perform manual review and corplete section 3 of the U.S security for.,Bitte führen Sie eine manuelle Überprüfung durch und vervollständigen Sie Abschnitt 3 der US-Sicherheitsbestimmungen für.,veuillez effectuer un examen manuel et compléter la section 3 de la sécurité américaine pour.,realice una revisión manual y complete la sección 3 de la seguridad de EE. UU. para.,يرجى إجراء مراجعة يدوية وإكمال القسم 3 من الأمان الأمريكي لـ.,"пожалуйста, выполните ручную проверку и заполните раздел 3 безопасности США для."
PopupHeader,Validate the Known Shipper,Validate the Known Shipper,Validieren Sie den bekannten Versender,Valider l'expéditeur connu,Validar el remitente conocido,التحقق من صحة الشاحن المعروف,Подтвердите известного грузоотправителя
ValidateAirCarrier,Validate Air Carrier List,Validate Air Carrier List,Validieren Sie die Liste der Fluggesellschaften,Valider la liste des transporteurs aériens,Validar lista de compañías aéreas,التحقق من صحة قائمة الناقلات الجوية,Проверка списка авиаперевозчиков
ValidateEmployee,Validate Employce,Validate Employce,Beschäftigung validieren,Valider l'emploi,Validar Empleo,التحقق من صحة التوظيف,Подтвердить трудоустройство
ValidateEmployecDetails,More than one year of service and employce of Delta or wholly or own subsidiary,More than one year of service and employce of Delta or wholly or own subsidiary,Mehr als ein Jahr Betriebszugehörigkeit und Anstellung bei Delta oder einer vollständigen oder eigenen Tochtergesellschaft,Plus d'un an de service et d'emploi chez Delta ou dans sa propre filiale,Más de un año de servicio y empleo de Delta o de su propia subsidiaria,أكثر من عام من الخدمة والتوظيف في شركة دلتا أو الشركة التابعة لها كليًا أو خاصًا بها,Более одного года работы в компании Delta или полностью или в собственной дочерней компании.
ValidateKnownShipper,Validate Known Shipper Manually.,Validate Known Shipper Manually.,Bekannten Versender manuell validieren.,Validez manuellement l’expéditeur connu.,Validar el remitente conocido manualmente.,التحقق من صحة الشاحن المعروف يدويًا.,Проверьте известного грузоотправителя вручную.
